Posição;Região administrativa;População
1;Ceilândia;398285
2;Samambaia;254439
3;Taguatinga;222598
4;Plano Piloto;220393
5;Planaltina;189421
6;Águas Claras;148940
7;Recanto das Emas;145304
8;Gama;141911
9;Guará;132685
10;Santa Maria;125123
11;Sobradinho II;100775
12;São Sebastião;100161
32;Sol Nascente;91066
13;Vicente Pires;72879
14;Itapoã;68587
15;Sobradinho;68551
16;Sudoeste/Octogonal;53262
17;Brazlândia;52287
18;Riacho Fundo II;51709
19;Paranoá;48020
33;Arniqueiras;45851
20;Riacho Fundo;40098
21;SCIA;39015
22;Lago Norte;37455
23;Cruzeiro;33539
24;Lago Sul;29346
25;Jardim Botânico;27364
26;Núcleo Bandeirante;25072
27;Park Way;19824
28;Candangolândia;16848
29;Varjão;9215
30;Fercal;8746
31; SIA;1988

